с+A1:B23татус комментариев,Комментарии,"СoolServis, автосервис"
1,"Был в командировке 31 октября в Нур-Султане, вдруг машина начала троить, пыхтеть и вообще глохнуть. Забил в гугле ближайшие СТО и обзвонив несколько из них выбрал КСсервис. Сервис понравился уже с порога. Встретил мастер Сергей, машину сразу загнали в бокс и приступили к диагностике. Не прошло и 30 минут , как моя машина уже была готова. Проблема была в свече 3го цилиндра и катушке зажигания. Раньше не был на данном сервисе , теперь планирую быть только там, Если в Нур-султане сломаюсь",
-1,"Не рекомендую обращаться в этот сервис, затраты времени и средств. Больше слов и обещаний, результат 0. Их гарантия за работу это пустое слово",
1,Человек тупо сбросил трубку,
1,"Нужен был Автоэлектрик. Поинтересовались, какая у меня машина? Приору не чиним. Почему же? Сложная машина, не сможем ничем помочь. Как же так!? Ваз проще всего ведь казалось! Короче я так понял хотят только с дорогих иномарок сшибать деньги! Хотя проблема то моя была запаять два провода и все",
1,"Мы ездили, нам понравилось. Быстро, качественно, адекватная цена",
1,"Позвонил, еле взяли телефон. В итоге наглым голосом тупо сказали что заняты, и принять не могут, и скинули",
-1,Рекомендую обратить внимание на тон разговоров с клиентами,
-1,"Добрый вечер, обслуживаю на данном сервисе уже 2 машину свою. По времени не всегда успевают во время, но зато тщательно каждую деталь просматривают. Цены чуть выше, чем на злополучном Салеме, зато качественно, а если не смогли устранить проблему, то переделают без проблем. Даже до 2 ночи задержал их 1 раз, никто не ругался. Советую всем, да и хрен найдете такой сервис за такие деньги на левом. Разве что у официалов. Больше нервов и денег потратите, если поедите на рабочку и тд",
-1,"Случайно прочитал отзывы и не смог промолчать. У меня не было никогда проблем с этим сервисом, при чем заезжаю суда по всякому случаю , будь то предохранитель или чего по серьёзней .Обслуживаюсь регулярно на этом сто , ребята знают своё дело ни разу не подвели . Цены приемлемые , если учесть качество оказываемых услуг. Были случаи когда никто не брался делать машину или делали все таки , но в итоге все равно возвращался суда , докрутить , до мотать , до клеить и тд . Возможно на юго-востоке мастера и дешевле , но эти проверенные и даже если , что не так, без вопросов решали проблемы",
1,"Ужасный сервис, берут много заказов и несправляются, работу во время не делают, с задержкой на несколько дней. С клиентами работают неохотно ( через нехочу, мол это тебе надо",
-1,"Культура людей поразила! Приехал на Mercedes-Benz e240. Буквально обокрали, так как цены космические, а качество не самое лучшее. Радует лишь одно - починили... Рекомендую тем, у кого имеется толстый кошелёк и жестяное терпение",
-1,"телефоны отключены, обслуживание нулевое, людей на месте нету, если есть то отвечают нехотя",
0," Обслуживание было стандартным, без особых проблем. Не вызвало ни восторга, ни разочарования.",Tez Auto
0,"Среднее качество обслуживания. Ничего выдающегося, но и претензий нет.",
0," Обслуживание прошло без сбоев, но ничем не выделяется среди других сервисов.",
0," Нейтральное впечатление. Ремонт выполнен без нареканий, но и не вызвал эйфории.",
0," Средний автосервис. Не идеально, но и не плохо.",
0," Стандартный сервис, соответствует ожиданиям, но не более.",
0," Нейтральный опыт. Не сильно впечатлил, но и не разочаровал.",
0," Нормальный сервис. Ничего особенного, но и недовольства нет.",
0,"Сервис обычный, ничего выдающегося. Не вызывает эмоций.",
0," Ремонт выполнен, но никаких впечатлений. Просто стандартный сервис.",
0," Сервис нейтральный. Не сильно радует, но и не разочаровывает.",
0,Среднестатистический автосервис. Обслуживание соответствует цене.,
0," Обслуживание было стандартным, ничего особенного. Средний опыт.",
0," Нейтральное впечатление. Ремонт выполнен, но исключительно по средней стоимости.",
0," Сервис прошел стандартно. Ничего выдающегося, но и проблем не возникло.",
0,"Средний автосервис. Не идеальный, но и не совсем плохой.",
0,"Нейтральный опыт обслуживания. Не сильно впечатлил, но и не разочаровал.",
0,"Обслуживание было обычным. Никаких особых эмоций, просто сервис.",
0,"Сервис нормальный. Не вызывает восторга, но и недовольства нет.",
0,"Нейтральное впечатление от обслуживания. Все стандартно, ничего выдающегося.",
1," После окончания гарантии у ОД, искал хороший СТО, где есть все услуги. Здесь нашёл всё + не надо искать запчасти. Всё делают сами и дают гарантии на свои запчасти. Чистый, аккуратный сервис. Вежливый персонал. Мастер Артём постоянно на суете, знает свою работу! Не теряйте планку. Да, цены на что то дороже но лучше чуть переплатить и быть уверенным чем сэкономить что бы потом переплачивать.",Tez Auto
-1,"Некоторые услуги намного дороже чем в официальных сервисных центрах. Смазка протяжка карданов на Прадо в тойота центре стоит 6 с чем-то (услуга и сама смазка), тут 11. Обращайте внимание на доп услуги.",
-1," Сервис становится хуже, в прошлом году было лучше. В следующий раз задумаюсь стоить ли ехать к ним на замену масла. Ведь цена такая же как в официальных сервис центрах, где сервис всегда на уровне.",
-1, Не понятные цены! Позвонил масло заменить сказали от 20 до 23. Уже там сказали 27.700 но по факту отдал все 30. Очень интересно. Сидят цены придумывают.,
0,Норамальный сервис.,
1,"Грамотные, вежливые специалисты, спасибо за обслуживание.",
1," Хочется оставить положительный отзыв. Обслуживание на высшем уровне!! Спасибо!! Искали долго хорошее сто, теперь мы ваши постоянные клиенты!!!",
1,"Быстро, качественно, приемлемая цена. Очень доброжелательны. Рекомендую!",
1,"Все отлично, сервис, обслуживание на высшем уровне👍👍👍",
1," Очень быстро и качественно сделали ходовку, все запчасти на тундру в наличии, бонусом помыли машину",
1, Мне очень понравилось обслуживание! Все сделали быстро и качественно. Спасибо вам!,
-1," Деньги на ветер 🌬️ Напишу про ГЕОМЕТРИЮ КОЛЕС : Было бы не жалко за такой сервис - ноо После как я выехал на трассу машину тянула на право! « до геометрии поменял саленблоки» Я подумал это из-за почти изношенных шин, доехал до Алматы и поменял сразу диски с шинами но проблема осталась, а кстати руль когда едешь прямо чуть смещен на право 😵‍💫 Более того что по приезду позвонил в данный сервис и рассказал, что так то так, оператор не была любезна и деликатно в данном случае и сказала « ПРИЕЗЖАТЬ ПО ЗАПИСИ И ОПЛАЧИВАТЬ ЗА НОВА» так как уже больше 10 дней прошло Вот и все 🏁",
1,"Постоянный клиент этого сервиса. Ребята молодцы, за работу отвечают. Благодарен",
1,"Приехала, хорошо проконсультировали, подсказали что к чему, быстро поменяли все запчасти. Заказала новые в оригинале. Спасибо большое за работу. Уезжаю счастливая😍",
1,"Цена, качество, обслуживание все на высшем уровне. Ребята очень клиентоориентированы. Удачи!!! Единственное на лето можно на улице где курят лавочку поставить )))",
1," Внимательный, профессиональный коллектив менеджеров и мастеров! Две проблемы, которые были с машиной, решили быстро и хорошо! Спасибо!",
1,"Приезжаю сюда не в первый раз, всегда доволен результатами.",
-1,Оператор не умеет общаться с людьми. Работу свою не знают.,
-1,"Сервис конечно хороший, но цены завышены. Не рекомендую.",
1,Качественное обслуживание!,
1,"Сделали развал. Во многих местах не было ПО для моей машины. У них есть. Чистота, сервис на должном уровне 👍",
1,"Классное сто, масло оригинал👍",
0,"СТО чистое, приёмка на высоте. Но цены явно завышены, по крайней мере в 2-3 раза.",
1,"Замена масла было комфортно и классно, рав 4 сказала спасибо ",
1,"Отличный автосервис. Быстро и качественно, можно наблюдать за работой онлайн👍🏼",
1,Всем доброго дня. Хочу поблагодарить за оказанные услуги . Все быстро и качественно. Всем рекомендую Моbil1 Center. Браво. Молодцы. Надеемся в предь обслуживаться у Вас.,
-1,"3 апреля менял пыльник наружной гранаты. Заехал на СТО к 13.00ч и выехал к 16.00ч. Цены на запчасти на 60% дороже рынка, работы дороже на порядок, плюс навязывается обязательная мойка автомобиля, при этом автомобиль не был грязным. Время ремонта более 2 часов после завершения диагностики, вместо обещанного 1 часа. В итоге ехал за быстрым качественным сервисом, а получил долгий дорогой сервис.",
1,"Очень вежливый персонал, удобный зал для ожидания, всё очень понравилось!!!",
1,"Понравилось. Все чисто, приятно, современно. Делают на совесть. Советую",
-1,"Сегодня заезжал к ним на замену масла в ДВС. Сервисом я не доволен, скажу почему: во первых включили мойку кузова в счет , хотя ранее этого не было. Да и машина с собой грязи не тащила, так как на улицах сухо. Во вторых во время мойки походу залили сигнал ракушку, при выезде с замены его почти не слышно. Зачем надо было решетку фронтальную напором обливать? В третьих с камеры в зале ожидания я не видел практический свое авто, камера повернута так что вы видите только левую четверть машины, следовательно я не увидел поменяли мне масляный фильтр и фильтр салона?! Может и не меняли а в счет включили. Так как обзора с камеры нет(8 бокс) я решил сам выйти и посмотреть что они там делают, заодно колодки проверить, но меня попросили зайти. На замечание о том что с камеры я не вижу свою машину и не вижу работы производимые , ничего не предприняли. В четвертых остаток масла , а именно пол литра я просил залить в любую емкость, чтобы забрать с собой. Их у них я думаю хватает . Любая емкость из под проданного ими масла подошла бы, но мне предложили также заплатить за эту бутылку. Нельзя так мелочится , тем более у вас как клиент обслуживаюсь а не просто с улицы зашел попросить. В общем на заметку всем кто туда поедет, я больше точно не поеду, хотя раньше был не раз и не два с другими машинами",
1,Прекрасный сервис! Настоятельно рекомендую!!,
-1,"Пишу КОНКРЕТНО ЧЕСТНЫЙ ОТЗЫВ. По телефону сказали что возьмутся за замену термостата. Привез сразу с собой новый термостат. Далее озвучили что возьмутся за машину если возьму запчасть у них. Хорошо, я согласился. Затем мне говорят что у них нет термостата на мою машину и не будут браться за работу. Прикола не понял)))) 87010125818 вот мой номер, вдруг попросите удалить МОЙ ЧЕСТНЫЙ ОТЗЫВ)))",
1,Обслуживаю здесь уже вторую машину. Спасибо ребятам за качественную работу,
1,"Обратился в первый раз и очень доволен. Была проблема со шкивом генератора. Обнаружили ещё ряд проблем и устранили, очень качественно и оперативно. Молодцы",
1,"Отличный сервис, вежливый персонал, качество материалов на уровне👍",
-1,"Не повторяйте моих ошибок! Приехал по положительным отзывам, скорее всего они накрученные. Цены лупят, мастера проблему устраняют методом исключения за что нужно дополнительно доплачивать. Не советую.",
1,"Менял масло все сделали очень быстро и аккуратно, хороший сервис. Недавно делал развал тоже все на высшем уровне",
1,"Заезжал в данное СТО меняли масло в двигателе, все понравилось, мастера знают свою работу.",
1,специалисты хорошие,
1,Классное обслуживание быстро и доступно!,
1,Заехал в первый раз. Приятно удивлён. Обязательно приеду еще.,
1,"Заезжаю не в первый раз, довольна их работой, цена соответствует качеству 👍",
1,Заезжаю не в первый раз. Свою машину ремрнтирую только здесь. Всегда доволен!,
1,"Отличное обслуживание, качество сервис на высшем уровне!",
1,"Бәрі керемет, мені қуантқаны бүкіл қызметтер бір жерде. БІЗ Әйел кісілерге өте ыңғайлы))) Сервис на высшем уровне, персонал вежливый, все скажет, подскажет, рекомндует, все чисто, уютно, (вода, чай, кофе, зал ожидания, уборные) обслуживаюсь не впервые, всем автолюбителям рекомендую",
1,"Масло заменили быстро,всё классно,супер чисто",
1,"Классный сервис, быстро и удобно",
1,"Оказали услугу отлично, сервис супер, советуем всем!",
1,"Самый лучший коллектив, самое лучшее обслуживание, всем советую, вы лучшие в своем деле 🔥🔥",
1,"Отличный сервис и грамотные специалисты. Ремонт и сервис на высоте, и цены нормальные по сравнению с официальными дилерами Тойота, Киа, Шевроле",
1,Очень хороший сервис) рекомендую всем,
-1,"Не часто оставляю негативные отзывы, но здесь обдумав решил. Приехал по отзывам с 2ГИС, сегодня 29.03.24г. примерно в 9:30, надо было сделать ходовую, запчасти уже были куплены. Мастер мне сказал «Что в любом случае будет их диагностика и мойка авто - 9 000тг», я согласился. Что потом происходит - нечего!!!! Мастеру позвонили и он разговаривает с другим клиентом, я стою жду, ещё и на костылях (перелом ноги) Он дальше спокойно разговаривает по телефону, как будто меня нет, прождав некоторое время, уехал на другое СТО, которому сегодня поставил 5 звезд - за обслуживание.",
-1,"Неумелые,глупые работники🤬 не исправили ошибку еще после них выло возгорание моей машины (добавил фото) еще дорого, когда я спросил почему дорого, они ответили что отвечает за качество,(добавил фото)а щас даже на телефон не отвечает, и говорят «мы не чем не можем помочь»",
1,"Отличный сервис,быстро качественно работают, добрые сотрудники. Комфортный зал ожидания не замечаешь как проходит время. Приезжайте не пожалеете!!!",
1,Спасибо большое за обслуживание. Всем доволен,
1,"В первый раз заехал в сервис на замену колодок, очень понравилось, чисто, я в восторге! Рекомендую всем заезжать и обслуживать машины! Кстати машину моют что очень удивило ! Спасибо !",
1,"Хороший сервис, решил свои проблемы по авто на месте",
1,Сервис нравитсь. Машину помоют. Очень аккуратно. Сервисом доволен.,
1,"Отличный сервис! Большое спасибо Данияру, нашёл причину и помог устранить!!! В другом сервисе не помогли",
1,Троил двигатель приехали помыли проверили заменили свечи убрали ошибки. Быстро и качественно. Советую,
1,Очень вежливые сотрудники . Всем рекомендую . Сделали все качественно,
1,"Отличный сервис! Отзывчивый коллектив, быстро и надежно!",
1,"Впервые обратился в этот сервис. Все доступно объяснили, остался доволен. Спасибо!",
1,"Спасибо за работу, всё сделано отлично",
1,Рекомендую,
1,Ең мықты сервис тек осында келемын енді керемет Асем жане Дауренге рахмет оперативно🙏🙏🙏,
1,"Отличный сервис, прекрасное СТО, всё чисто, грамотные специалисты, выявили все недостатки сразу. Будем обращаться ещё. Теперь только к Вам",
1,Спасибо сотрудникам автосервиса и Максиму за быструю и добросовестную работу!!!,
1,Все понравлюсь сервис на высшем уровне. Главное оперативно,
1,"Очень хороший сервис, ребята крутые. Все сделали быстро и качественно. Эльмире отдельное спасибо 👍🏼",
1,Качество на уровне!,
1,"Самое хорошое СТО, очень приветливые и дружелюбные сотрудники. Делаю обслуживание только тут уже полгода. Отдельная благодарность Даурену , были проблемы с машиной решили быстро и четко. Всем советую приезжать на обслуживание сюда!!",
1,"Отличное сто, рекомендую",
1,Маған унады условя жоқсың кабинет одыха бара кофе чай бәрі ішінде тез әрі сапалы,
1,Сервис отличный.колектив очень хороший и работают сложно. Полностью доволен .,
1,Хороший сервис. Приятный персонал на ресепшине,
1,"Все сделано отлично, заменили лямбда зонд. Качественно и быстро. Никаких претензий нет",
1,"Сервис на высшем уровне, все сделали вовремя и качественно. Всем рекомендую данный СТО",
1,Отличный сервис👍 Быстро и оперативно🚀,
1,Хорошая работа спасибо.,
1,Очень хороший центр советую всем,
1,"Всё устраивает, вежливые сотрудники, вкусный кофе. Машину помыли, цены демократичны. Ответили на все интересующие вопросы по машине. Буду обслуживать свой авто только тут.",
-1,"мойка 1500 тг, никакой диагоностику , обманывают людей короче не советую Жигиттер",
-1,"После этого ремонта радикально поменялось мнение о данном СТО. Замена сцепления заняла 2 месяца, 3 раза говорили машина готова и 3 раза загонял обратно. После ремонта появились посторонние шумы, которые на сто так и не устранили. Для уточнения хода ремонта приходилось самому звонить, писать. В итоге не факт, что сделали качественно. Т.е. прихожу к выводу, что для меня и моего окружения данное СТО больше не существует.",
1,"Круто, молодцы,джигиттер, так держать, буду еще заезжать",
1,Классное СТО машина едет нормально,
1,"Оставляю поздний отзыв. Был на этом СТО летом 2023, ребята профессионалы своего дела, несмотря на то что у меня Камаро американец, все четко проверили, поменяли масло в двигателе и коробке, поменяли тормозную жидкость, все фильтра и главное все был сделано четко и профессионально. СТО чистое, все продуманно, и видно сервис на уровне. Вообщем однозначно буду ездить только туда",
